Date,Description,Amount,Type
08/01/2023,MARSHALLS 3100 08/01 MOBILE PURCHASE WASHINGTON DC,-10.60,Clothes
08/02/2023,TARGET 00022590 08/01 MOBILE PURCHASE WASHINGTON DC,-35.16,Skincare
08/04/2023,TST* TATTE BAKERY - CIT 08/02 MOBILE PURCHASE WASHINGTON DC,-7.15,DC Food
08/04/2023,VENMO DES:PAYMENT ID:XXXXX89730958 INDN:MICHELLE LUOWEN DING CO ID:XXXXX81992 WEB,-30.00,DC Food
08/07/2023,Online Banking transfer from SAV 4785 Confirmation# XXXXX16460,200.00,Savings
08/07/2023,VENMO DES:CASHOUT ID:XXXXX24497719 INDN:MICHELLE LUOWEN DING CO ID:XXXXX81992 PPD,67.00,Venmo Income 
08/07/2023,TST* TATTE BAKERY - 14T 08/03 MOBILE PURCHASE WASHINGTON DC,-4.07,DC Food
08/07/2023,HANA JAPANESE MARKET 08/04 PURCHASE WASHINGTON DC,-54.45,DC Groceries
08/07/2023,TST* TATTE BAKERY - CIT 08/05 MOBILE PURCHASE WASHINGTON DC,-7.65,DC Food
08/07/2023,PP*APPLE.COM/BILL 08/06 PURCHASE 402-935-7733 CA,-0.99,Tech
08/07/2023,SQ *BAKERY AT FARMERS M 08/06 MOBILE PURCHASE Washington DC,-6.00,DC Food
08/07/2023,DUNHAMS PRODUCE 08/06 MOBILE PURCHASE HEDGESVILLE WV,-10.37,DC Groceries
08/07/2023,KNOPPS FARM ON THE R 08/06 MOBILE PURCHASE DENTON MD,-6.07,DC Groceries
08/07/2023,SQ *ASHTON FARMS 08/06 MOBILE PURCHASE Washington DC,-4.00,DC Groceries
08/07/2023,TARGET 00022590 08/06 MOBILE PURCHASE WASHINGTON DC,-61.78,Skincare
08/07/2023,VENMO DES:PAYMENT ID:XXXXX39678836 INDN:MICHELLE LUOWEN DING CO ID:XXXXX81992 WEB,-35.00,Phone bill
08/08/2023,WHOLEFDS FAV#1 08/08 MOBILE PURCHASE WASHINGTON DC,-47.15,DC Groceries
08/09/2023,PAIK PRODUCE 08/06 MOBILE PURCHASE WASHINGTON DC,-5.99,DC Groceries
08/09/2023,TST* Cafe Unido 08/07 MOBILE PURCHASE Washington DC,-4.67,DC Food
08/11/2023,Online Banking transfer from SAV 4785 Confirmation# XXXXX20272,200.00,Savings
08/14/2023,Online Banking transfer from SAV 4785 Confirmation# XXXXX13522,600.00,Savings
08/14/2023,SATAY CLUB ASIAN REST 08/10 PURCHASE WASHINGTON DC,-22.69,DC Food
08/14/2023,PP*APPLE.COM/BILL 08/10 PURCHASE 402-935-7733 CA,-6.41,Tech
08/14/2023,SEPHORA F STREET 08/11 MOBILE PURCHASE WASHINGTON DC,-164.03,Skincare
08/14/2023,THE UPS STORE 7175 08/12 MOBILE PURCHASE XXX-XX62162 DC,-20.20,UPS
08/14/2023,STARRY.COM 08/13 PURCHASE HTTPSSTARRY.C MA,-50.00,Wifi
08/14/2023,PRatPartners 08/13 MOBILE PURCHASE Washington DC,-291.83,Hair
08/14/2023,MACY'S 06 08/13 MOBILE PURCHASE WASHINGTON DC,-72.13,Clothes
08/14/2023,WHOLEFDS FAV#1 08/13 MOBILE PURCHASE WASHINGTON DC,-36.16,DC Groceries
08/15/2023,PAYPAL *SPOTIFYUSAI 08/14 PURCHASE 402-935-7733 NY,-5.34,Tech
08/16/2023,PAYPAL *MAX 08/15 PURCHASE 855-942-6669 NY,-17.11,HBO
08/16/2023,CVS/PHARMACY # 08/16 MOBILE PURCHASE WASHINGTON DC,-8.69,DC Food
08/17/2023,TST* TATTE BAKERY & CAF 08/15 MOBILE PURCHASE WASHINGTON DC,-10.80,DC Food
08/17/2023,VENMO DES:PAYMENT ID:XXXXX39655282 INDN:MICHELLE LUOWEN DING CO ID:XXXXX81992 WEB,-38.00,Nails
08/18/2023,THE UPS STORE 7175 08/17 MOBILE PURCHASE XXX-XX62162 DC,-3.39,Wifi
08/18/2023,NNT SOBAN KORE 08/18 MOBILE PURCHASE PROVIDENCE RI,-16.05,Prov food
08/21/2023,STARRY.COM 08/17 REFUND HTTPSSTARRY.C MA,42.80,Wifi 
08/21/2023,POKEWORKS 08/18 MOBILE PURCHASE PROVIDENCE RI,-33.37,Prov food
08/25/2023,CVS/PHARMACY # 08/25 MOBILE PURCHASE PROVIDENCE RI,-22.02,Prov home
08/28/2023,Online Banking transfer from SAV 4785 Confirmation# XXXXX94945,300.00,Savings
08/28/2023,STARBUCKS STORE 07219 08/26 MOBILE PURCHASE PROVIDENCE RI,-4.05,Prov food
08/28/2023,OLD BAG VINTAGE 08/26 MOBILE PURCHASE Providence RI,-53.05,Prov clothes
08/28/2023,BKS ON THE SQU 08/27 MOBILE PURCHASE PROVIDENCE RI,-34.55,Books
08/29/2023,Online Banking transfer from SAV 4785 Confirmation# XXXXX43574,"1600.00",Savings
08/29/2023,STARBUCKS STORE 07219 08/27 MOBILE PURCHASE PROVIDENCE RI,-4.81,Prov food
08/29/2023,AMZN MKTP US*T34P43EL1 08/28 PURCHASE AMZN.COM/BILL WA,-44.91,Nail kit
08/30/2023,TST* COFFEE EXCHANGE RI 08/28 MOBILE PURCHASE PROVIDENCE RI,-10.42,Prov food
08/30/2023,Zelle payment to Kayan Shih Conf# rlxoe4s3r,-49.00,Prov home
08/31/2023,TST* Ceremony 08/29 MOBILE PURCHASE Providence RI,-6.64,Prov food
08/31/2023,PP*APPLE.COM/BILL 08/29 PURCHASE 402-935-7733 CA,-5.34,Tech
08/31/2023,AMZN MKTP US*T323L5H71 08/30 PURCHASE AMZN.COM/BILL WA,-44.93,Prov home
08/31/2023,NOSTALGIA LLC 08/30 MOBILE PURCHASE PROVIDENCE RI,-10.70,Prov clothes
08/31/2023,WHOLEFDS PRO 10014 08/30 MOBILE PURCHASE PROVIDENCE RI,-50.07,Prov groceries
