Date,Description,Amount,Type
01/03/2023,PAYPAL *NATIONALRAI 12/30 PURCHASE 402-935-7733 DC,-53.00,Transport
01/03/2023,SQ *VITA @ KEXP 12/31 MOBILE PURCHASE Seattle WA,-7.06,Food
01/03/2023,SQ *VITA @ KEXP 12/31 MOBILE PURCHASE Seattle WA,-6.50,Food
01/03/2023,MERCER STREET BOOKS 12/31 MOBILE PURCHASE SEATTLE WA,-5.51,Entertainment
01/03/2023,SQ *CAFFE VITA - QUEEN 12/31 MOBILE PURCHASE Seattle WA,-7.16,Food
01/03/2023,CAFFE LADRO - 02 01/01 MOBILE PURCHASE SEATTLE WA,-6.51,Food
01/03/2023,TST* Sugo 01/01 MOBILE PURCHASE Seattle WA,-57.08,Food
01/03/2023,SQ *VITA @ KEXP 01/02 MOBILE PURCHASE Seattle WA,-4.62,Food
01/03/2023,SQ *VITA @ KEXP 01/02 MOBILE PURCHASE Seattle WA,-5.50,Food
01/04/2023,SQ *NIELSEN'S PASTRIES 01/03 MOBILE PURCHASE Seattle WA,-7.25,Food
01/05/2023,SQ *VITA @ KEXP 01/04 MOBILE PURCHASE Seattle WA,-4.35,Food
01/09/2023,STARBUCKS A CONC SEA 01/05 MOBILE PURCHASE SEATTLE WA,-6.50,Food
01/09/2023,PP*APPLE.COM/BILL 01/06 PURCHASE 402-935-7733 CA,-0.99,Tech
01/09/2023,SQ *CROISSANT CONSORTIU 01/06 MOBILE PURCHASE New York NY,-9.70,Food
01/09/2023,MTA*NYCT PAYGO 01/06 MOBILE PURCHASE NEW YORK NY,-2.75,Transport
01/09/2023,SQ *CROISSANT CONSORTIU 01/08 MOBILE PURCHASE New York NY,-3.45,Food
01/09/2023,VENMO DES:PAYMENT ID:XXXXX65904921 INDN:MICHELLE LUOWEN DING CO ID:XXXXX81992 WEB,-35.00,Food
01/11/2023,MTA*NYCT PAYGO 01/09 MOBILE PURCHASE NEW YORK NY,-2.75,Transport
01/11/2023,TST* DEAR MAMA- WEST HA 01/09 MOBILE PURCHASE NEW YORK NY,-6.53,Food
01/11/2023,MTA*NYCT PAYGO 01/10 MOBILE PURCHASE NEW YORK NY,-2.75,Transport
01/11/2023,VENMO DES:PAYMENT ID:XXXXX22170941 INDN:MICHELLE LUOWEN DING CO ID:XXXXX81992 WEB,-15.00,Food
01/12/2023,MTA*NYCT PAYGO 01/10 MOBILE PURCHASE NEW YORK NY,-2.75,Transport
01/12/2023,MTA*NYCT PAYGO 01/10 MOBILE PURCHASE NEW YORK NY,-2.75,Transport
01/12/2023,TST* DEAR MAMA- WEST HA 01/10 MOBILE PURCHASE NEW YORK NY,-7.13,Food
01/12/2023,MTA*NYCT PAYGO 01/10 MOBILE PURCHASE NEW YORK NY,-2.75,Transport
01/12/2023,TST* DEAR MAMA- WEST HA 01/11 MOBILE PURCHASE NEW YORK NY,-3.81,Food
01/12/2023,TST* DEAR MAMA- WEST HA 01/11 MOBILE PURCHASE NEW YORK NY,-19.02,Food
01/13/2023,VENMO DES:CASHOUT ID:XXXXX65904458 INDN:MICHELLE LUOWEN DING CO ID:XXXXX81992 PPD,34.50,Food
01/13/2023,MTA*NYCT PAYGO 01/11 MOBILE PURCHASE NEW YORK NY,-2.75,Transport
01/13/2023,MTA*NYCT PAYGO 01/11 MOBILE PURCHASE NEW YORK NY,-2.75,Transport
01/13/2023,SQ *CROISSANT CONSORTIU 01/12 MOBILE PURCHASE New York NY,-4.45,Food
01/17/2023,MTA*NYCT PAYGO 01/13 MOBILE PURCHASE NEW YORK NY,-2.75,Transport
01/17/2023,MTA*NYCT PAYGO 01/13 MOBILE PURCHASE NEW YORK NY,-2.75,Transport
01/17/2023,MTA*NYCT PAYGO 01/14 MOBILE PURCHASE NEW YORK NY,-2.75,Transport
01/17/2023,SP KNITTY CITY 01/14 PURCHASE XXX-XX875896 NY,-132.57,Entertainment
01/17/2023,MTA*NYCT PAYGO 01/14 MOBILE PURCHASE NEW YORK NY,-2.75,Transport
01/17/2023,MTA*NYCT PAYGO 01/14 MOBILE PURCHASE NEW YORK NY,-2.75,Transport
01/17/2023,PAYPAL *SPOTIFYUSAI 01/14 PURCHASE 402-935-7733 NY,-5.34,Tech
01/17/2023,JANOFF NY LLC 01/15 MOBILE PURCHASE NEW YORK NY,-24.06,Entertainment
01/17/2023,MTA*NYCT PAYGO 01/16 MOBILE PURCHASE NEW YORK NY,-2.75,Transport
01/17/2023,MTA*NYCT PAYGO 01/16 MOBILE PURCHASE NEW YORK NY,-2.75,Transport
01/17/2023,SQ *CROISSANT CONSORTIU 01/16 MOBILE PURCHASE New York NY,-8.70,Food
01/17/2023,VENMO DES:PAYMENT ID:XXXXX85740403 INDN:MICHELLE LUOWEN DING CO ID:XXXXX81992 WEB,-84.00,Food
01/20/2023,SQ *CROISSANT CONSORTIU 01/19 MOBILE PURCHASE New York NY,-9.69,Food
01/23/2023,AMSTERDAM CONVENIENCE 1 01/21 MOBILE PURCHASE NEW YORK NY,-1.04,Food
01/23/2023,MTA*NYCT PAYGO 01/21 MOBILE PURCHASE NEW YORK NY,-2.75,Transport
01/23/2023,MTA*NYCT PAYGO 01/21 MOBILE PURCHASE NEW YORK NY,-2.75,Transport
01/23/2023,LIDL #8011 01/21 MOBILE PURCHASE HARLEM NY,-5.43,Transport
01/23/2023,SQ *CROISSANT CONSORTIU 01/21 MOBILE PURCHASE New York NY,-9.19,Food
01/23/2023,MTA*NYCT PAYGO 01/22 MOBILE PURCHASE NEW YORK NY,-2.75,Transport
01/23/2023,MTA*NYCT PAYGO 01/22 MOBILE PURCHASE NEW YORK NY,-2.75,Transport
01/24/2023,HUDSON-DUNKIN ST212 01/23 MOBILE PURCHASE NEW YORK NY,-4.57,Food
01/27/2023,CVS/PHARMACY #00827 01/26 MOBILE PURCHASE PROVIDENCE RI,-13.35,Health
